Disease,rows,states,districts,unique_dates,first_date,last_date,total_cases,total_deaths,nonzero_case_records,zero_case_records,nonzero_case_%,zero_case_%
Acute Diarrhoeal Disease,5126,35,684,2610,2009-06-02,2022-06-29,251456.0,1265.0,5126,0,100.0,0.0
Dengue,1619,34,344,1117,2009-07-28,2022-06-10,238047.0,613.0,1618,0,99.93823347745521,0.0
Chikungunya,731,21,195,626,2009-06-10,2022-06-12,53289.0,14.0,731,0,100.0,0.0
Cholera,666,25,208,545,2009-05-05,2022-06-06,126495.0,461.0,666,0,100.0,0.0
Malaria,544,24,199,462,2009-05-04,2022-06-13,111858.0,565.0,544,0,100.0,0.0
Acute Encephalitis Syndrome,111,12,52,92,2009-11-28,2022-01-24,3848.0,1090.0,111,0,100.0,0.0
Acute Gastroenteritis,100,19,66,91,2016-02-02,2022-03-05,5015.0,17.0,100,0,100.0,0.0
Dengue And Chikungunya,53,9,34,50,2011-09-21,2020-10-31,4599.0,5.0,53,0,100.0,0.0
Suspected Dengue,14,4,12,13,2016-02-12,2021-06-25,291.0,7.0,14,0,100.0,0.0
Suspected Chikungunya,3,1,3,3,2017-06-03,2017-10-26,54.0,0.0,3,0,100.0,0.0
Dengue/Chikungunya,3,2,3,3,2010-11-17,2012-09-10,74.0,0.0,3,0,100.0,0.0
Dengue And Malaria,3,3,3,3,2012-09-01,2016-10-20,371.0,7.0,3,0,100.0,0.0
Dengue Fever,2,2,2,2,2021-05-19,2021-06-02,15.0,1.0,2,0,100.0,0.0
Suspected Cholera,2,2,2,2,2017-10-23,2019-07-18,25.0,0.0,2,0,100.0,0.0
Chikungunya/Dengue,1,1,1,1,2011-09-05,2011-09-05,538.0,0.0,1,0,100.0,0.0
Chikungunya/ Dengue,1,1,1,1,2010-10-21,2010-10-21,301.0,0.0,1,0,100.0,0.0
Diarrhea,1,1,1,1,2018-06-02,2018-06-02,30.0,1.0,1,0,100.0,0.0
Dengue Chikungunya,1,1,1,1,2021-10-03,2021-10-03,19.0,0.0,1,0,100.0,0.0
Malaria (PV),1,1,1,1,2022-05-04,2022-05-04,5.0,0.0,1,0,100.0,0.0
Gastroenteritis,1,1,1,1,2016-02-01,2016-02-01,33.0,0.0,1,0,100.0,0.0
Suspected Dengue And Chikungunya,1,1,1,1,2017-11-10,2017-11-10,49.0,1.0,1,0,100.0,0.0
pyrexia of unknown origin,1,1,1,1,2022-01-31,2022-01-31,15.0,0.0,1,0,100.0,0.0
