WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-08-09,2021,32,2021-08-08,2021,32,NONSENTINEL,2767.0,2767.0,34.0,,339.0,,,,,,,373.0,,,9.0,,,,9.0,382.0,2385.0,3.0,,,,,,,,,,,,Samples tested for Influenza & SARS CoV-2,IN,202132,202132,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-08-16,2021,33,2021-08-15,2021,33,NONSENTINEL,3436.0,3436.0,31.0,,429.0,,,,,,,460.0,,,16.0,,,,16.0,476.0,2960.0,3.0,,,,,,,,,,,,Samples tested for Influenza & SARS CoV-2,IN,202133,202133,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-08-23,2021,34,2021-08-22,2021,34,NONSENTINEL,2154.0,2154.0,21.0,,326.0,,,,,,,347.0,,,24.0,,,,24.0,371.0,1783.0,3.0,,,,,,,,,,,,Samples tested for Influenza & SARS CoV-2,IN,202134,202134,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-08-30,2021,35,2021-08-29,2021,35,NONSENTINEL,2438.0,2438.0,18.0,,288.0,,,,,,,306.0,,,67.0,,,,67.0,373.0,2065.0,3.0,,,,,,,,,,,,Samples tested for Influenza & SARS CoV-2,IN,202135,202135,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-09-06,2021,36,2021-09-05,2021,36,NONSENTINEL,2492.0,2492.0,4.0,,180.0,,,,,,,184.0,,,144.0,,,7.0,151.0,335.0,2157.0,3.0,,,,,,,,,,,,Samples tested  for Influenza & SARS CoV-2,IN,202136,202136,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-09-13,2021,37,2021-09-12,2021,37,NONSENTINEL,1991.0,1991.0,11.0,,88.0,,,,,,,99.0,,,117.0,,,17.0,134.0,233.0,1758.0,3.0,,,,,,,,,,,,Samples tested  for Influenza & SARS CoV-2,IN,202137,202137,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-09-20,2021,38,2021-09-19,2021,38,NONSENTINEL,3088.0,3088.0,5.0,,96.0,,,,,,,101.0,,,204.0,,,16.0,220.0,321.0,2767.0,3.0,,,,,,,,,,,,Samples tested  for Influenza & SARS CoV-2,IN,202138,202138,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-09-27,2021,39,2021-09-26,2021,39,NONSENTINEL,2752.0,2752.0,3.0,,67.0,,,,,,,70.0,,,263.0,,,2.0,265.0,335.0,2417.0,3.0,,,,,,,,,,,,Samples tested  for Influenza & SARS CoV-2,IN,202139,202139,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-10-04,2021,40,2021-10-03,2021,40,NONSENTINEL,2509.0,2509.0,4.0,,24.0,,,,,,,28.0,,,208.0,,,19.0,227.0,255.0,2254.0,3.0,,,,,,,,,,,,Samples tested  for Influenza & SARS CoV-2,IN,202140,202140,,,
SEAR,YR,NH,FLU_STH_ASIA,IND,India,2021-10-11,2021,41,2021-10-10,2021,41,NONSENTINEL,2005.0,2005.0,2.0,,19.0,,,,,,,21.0,,,166.0,,,10.0,176.0,197.0,1808.0,3.0,,,,,,,,,,,,Samples tested  for Influenza & SARS CoV-2,IN,202141,202141,,,
