state_ut,unique_weeks,first_week,last_week,total_cases,total_deaths,average_cases_per_week,max_cases_in_week,average_districts_reporting,max_districts_reporting,calendar_weeks,weekly_coverage_%
Karnataka,283,2009-06-08,2022-06-13,18019.0,61.0,63.67137809187279,454.0,1.6289752650176679,5,680,41.61764705882353
Maharashtra,265,2009-07-20,2022-06-13,23685.0,45.0,89.37735849056604,834.0,1.5811320754716982,7,674,39.317507418397625
West Bengal,254,2009-06-08,2022-04-25,42317.0,67.0,166.60236220472441,4597.0,1.7322834645669292,7,673,37.74145616641902
Gujarat,233,2009-06-15,2022-06-27,16889.0,26.0,72.48497854077253,1251.0,1.2918454935622317,4,681,34.2143906020558
Odisha,217,2009-07-06,2022-06-06,8985.0,90.0,41.40552995391705,385.0,1.3456221198156681,3,675,32.148148148148145
Tamil Nadu,200,2009-06-29,2022-06-06,8402.0,23.0,42.01,429.0,1.355,5,676,29.585798816568047
Madhya Pradesh,199,2009-06-15,2022-06-06,17748.0,134.0,89.1859296482412,514.0,1.7587939698492463,8,678,29.35103244837758
Andhra Pradesh,177,2009-06-15,2022-05-30,11285.0,45.0,63.75706214689266,1987.0,1.271186440677966,4,677,26.14475627769572
Chhattisgarh,164,2009-06-29,2022-06-13,14015.0,93.0,85.45731707317073,558.0,1.6524390243902438,7,677,24.224519940915805
Assam,149,2009-06-29,2022-06-06,7434.0,88.0,49.89261744966443,463.0,1.221476510067114,4,676,22.041420118343193
Bihar,146,2010-05-31,2020-03-02,8327.0,205.0,57.034246575342465,256.0,1.8287671232876712,8,510,28.627450980392155
Uttar Pradesh,146,2009-07-27,2022-06-13,7948.0,160.0,54.43835616438356,581.0,1.452054794520548,4,673,21.693907875185737
Rajasthan,109,2009-06-15,2022-06-06,9297.0,38.0,85.29357798165138,403.0,1.2844036697247707,3,678,16.07669616519174
Punjab,100,2009-06-15,2022-06-13,7294.0,25.0,72.94,604.0,1.11,3,679,14.727540500736378
Jharkhand,97,2009-09-28,2022-06-06,3530.0,25.0,36.391752577319586,140.0,1.1958762886597938,3,663,14.630467571644044
Telangana,94,2009-06-15,2022-04-04,5020.0,22.0,53.40425531914894,294.0,1.1808510638297873,3,669,14.050822122571002
Kerala,78,2009-09-07,2022-06-06,3206.0,4.0,41.1025641025641,273.0,1.141025641025641,4,666,11.711711711711711
Jammu and Kashmir,72,2010-08-16,2020-10-26,14352.0,6.0,199.33333333333334,1634.0,1.25,4,533,13.50844277673546
Haryana,66,2009-06-29,2022-05-30,7390.0,31.0,111.96969696969697,1394.0,1.0909090909090908,2,675,9.777777777777779
Himachal Pradesh,62,2009-06-15,2021-07-12,6248.0,7.0,100.7741935483871,573.0,1.1451612903225807,2,631,9.8256735340729
Uttarakhand,46,2009-06-01,2022-05-30,2009.0,20.0,43.67391304347826,159.0,1.173913043478261,3,679,6.774668630338733
Arunachal Pradesh,22,2010-05-03,2022-05-23,3362.0,21.0,152.8181818181818,1140.0,1.1818181818181819,3,630,3.492063492063492
Meghalaya,20,2012-01-16,2022-05-09,1392.0,13.0,69.6,375.0,1.1,2,539,3.710575139146568
Tripura,17,2011-01-17,2019-08-19,886.0,12.0,52.11764705882353,236.0,1.0,1,449,3.78619153674833
Delhi,7,2013-06-17,2016-10-17,334.0,2.0,47.714285714285715,190.0,1.0,1,175,4.0
Sikkim,6,2011-06-06,2020-05-04,219.0,0.0,36.5,71.0,1.0,1,466,1.2875536480686696
Manipur,5,2011-01-31,2018-04-23,253.0,2.0,50.6,191.0,1.0,1,378,1.3227513227513228
Goa,5,2013-05-13,2019-02-04,196.0,0.0,39.2,74.0,1.0,1,300,1.6666666666666667
Puducherry,4,2018-02-19,2022-05-23,256.0,0.0,64.0,113.0,1.0,1,223,1.7937219730941705
Chandigarh,4,2017-01-23,2018-06-11,482.0,0.0,120.5,246.0,1.0,1,73,5.47945205479452
Mizoram,4,2012-06-04,2020-12-21,300.0,0.0,75.0,188.0,1.0,1,447,0.8948545861297539
Andaman and Nicobar Islands,3,2013-12-16,2019-10-07,124.0,0.0,41.333333333333336,86.0,1.0,1,304,0.9868421052631579
Dadra and Nagar Haveli,3,2016-11-28,2020-01-27,174.0,0.0,58.0,98.0,1.0,1,166,1.8072289156626504
Daman and Diu,2,2009-07-06,2020-03-02,47.0,0.0,23.5,33.0,1.0,1,557,0.3590664272890485
Nagaland,1,2016-02-29,2016-02-29,31.0,0.0,31.0,31.0,1.0,1,1,100.0
