state_ut,rows,unique_districts,unique_dates,first_date,last_date,total_cases,total_deaths,nonzero_case_records,zero_case_records,nonzero_case_%,zero_case_%
West Bengal,562,37,421,2009-06-14,2022-04-25,42317.0,67.0,562,0,100.0,0.0
Karnataka,515,50,453,2009-06-09,2022-06-14,18019.0,61.0,515,0,100.0,0.0
Maharashtra,445,35,397,2009-07-23,2022-06-15,23685.0,45.0,445,0,100.0,0.0
Madhya Pradesh,371,55,321,2009-06-16,2022-06-12,17748.0,134.0,371,0,100.0,0.0
Gujarat,320,33,295,2009-06-16,2022-06-29,16889.0,26.0,320,0,100.0,0.0
Odisha,315,35,291,2009-07-09,2022-06-10,8985.0,90.0,315,0,100.0,0.0
Chhattisgarh,300,23,258,2009-06-30,2022-06-15,14015.0,93.0,300,0,100.0,0.0
Bihar,300,33,244,2010-06-02,2020-03-03,8327.0,205.0,300,0,100.0,0.0
Tamil Nadu,289,51,259,2009-07-03,2022-06-06,8402.0,23.0,289,0,100.0,0.0
Andhra Pradesh,253,18,222,2009-06-19,2022-05-31,11285.0,45.0,253,0,100.0,0.0
Uttar Pradesh,225,51,201,2009-07-27,2022-06-16,7948.0,160.0,225,0,100.0,0.0
Assam,187,34,177,2009-06-30,2022-06-10,7434.0,88.0,187,0,100.0,0.0
Rajasthan,148,33,139,2009-06-19,2022-06-08,9297.0,38.0,148,0,100.0,0.0
Telangana,124,17,112,2009-06-15,2022-04-08,5020.0,22.0,124,0,100.0,0.0
Jharkhand,122,19,118,2009-10-03,2022-06-11,3530.0,25.0,122,0,100.0,0.0
Punjab,117,23,109,2009-06-21,2022-06-15,7294.0,25.0,117,0,100.0,0.0
Jammu and Kashmir,102,20,92,2010-08-22,2020-10-28,14352.0,6.0,102,0,100.0,0.0
Kerala,92,16,91,2009-09-11,2022-06-07,3206.0,4.0,92,0,100.0,0.0
Haryana,83,16,74,2009-07-05,2022-05-30,7390.0,31.0,83,0,100.0,0.0
Himachal Pradesh,77,11,70,2009-06-18,2021-07-16,6248.0,7.0,77,0,100.0,0.0
Uttarakhand,55,16,51,2009-06-02,2022-05-30,2009.0,20.0,55,0,100.0,0.0
Arunachal Pradesh,40,15,26,2010-05-05,2022-05-27,3362.0,21.0,40,0,100.0,0.0
Meghalaya,22,10,22,2012-01-18,2022-05-12,1392.0,13.0,22,0,100.0,0.0
Tripura,17,9,17,2011-01-20,2019-08-25,886.0,12.0,17,0,100.0,0.0
Delhi,7,5,7,2013-06-23,2016-10-17,334.0,2.0,7,0,100.0,0.0
Sikkim,7,5,6,2011-06-10,2020-05-07,219.0,0.0,7,0,100.0,0.0
Manipur,5,4,5,2011-02-06,2018-04-27,253.0,2.0,5,0,100.0,0.0
Goa,5,2,5,2013-05-19,2019-02-06,196.0,0.0,5,0,100.0,0.0
Puducherry,4,2,4,2018-02-19,2022-05-26,256.0,0.0,4,0,100.0,0.0
Chandigarh,4,1,4,2017-01-25,2018-06-16,482.0,0.0,4,0,100.0,0.0
Mizoram,4,3,4,2012-06-04,2020-12-26,300.0,0.0,4,0,100.0,0.0
Andaman and Nicobar Islands,3,2,3,2013-12-16,2019-10-09,124.0,0.0,3,0,100.0,0.0
Dadra and Nagar Haveli,3,1,3,2016-11-30,2020-01-29,174.0,0.0,3,0,100.0,0.0
Daman and Diu,2,2,2,2009-07-07,2020-03-04,47.0,0.0,2,0,100.0,0.0
Nagaland,1,1,1,2016-03-06,2016-03-06,31.0,0.0,1,0,100.0,0.0
