state_ut,rows,unique_districts,unique_dates,first_date,last_date,total_cases,total_deaths,nonzero_case_records,zero_case_records,diseases,nonzero_case_%,zero_case_%,missing_cases,missing_deaths
Maharashtra,1195,38,985,2009-07-23,2022-06-15,53575.0,340.0,1195,0,14,100.0,0.0,0,851
Karnataka,1097,57,888,2009-06-09,2022-06-14,39532.0,125.0,1097,0,11,100.0,0.0,0,867
West Bengal,889,42,596,2009-05-05,2022-05-08,178830.0,240.0,889,0,10,100.0,0.0,0,659
Tamil Nadu,735,65,623,2009-06-15,2022-06-06,22483.0,102.0,735,0,8,100.0,0.0,0,573
Madhya Pradesh,580,56,480,2009-06-16,2022-06-12,33815.0,197.0,580,0,7,100.0,0.0,0,387
Gujarat,452,37,400,2009-06-16,2022-06-29,23324.0,64.0,452,0,7,100.0,0.0,0,351
Bihar,405,33,318,2009-08-03,2020-12-06,23809.0,841.0,405,0,8,100.0,0.0,0,206
Assam,384,35,325,2009-06-12,2022-06-10,26853.0,603.0,384,0,6,100.0,0.0,0,199
Chhattisgarh,370,26,308,2009-06-30,2022-06-15,19963.0,143.0,370,0,6,100.0,0.0,0,271
Odisha,358,38,327,2009-07-09,2022-06-10,12255.0,147.0,358,0,6,100.0,0.0,0,260
Uttar Pradesh,323,65,280,2009-07-27,2022-06-16,60173.0,259.0,323,0,8,100.0,0.0,0,189
Kerala,304,19,264,2009-06-10,2022-06-07,10215.0,62.0,304,0,9,100.0,0.0,0,250
Andhra Pradesh,282,18,249,2009-06-15,2022-05-31,12197.0,47.0,281,0,6,99.64539007092199,0.0,1,211
Rajasthan,230,37,202,2009-06-17,2022-06-08,24027.0,85.0,230,0,8,100.0,0.0,0,170
Telangana,218,23,194,2009-06-15,2022-04-08,9841.0,38.0,218,0,7,100.0,0.0,0,165
Jharkhand,213,23,195,2009-07-19,2022-06-11,29531.0,70.0,213,0,6,100.0,0.0,0,156
Punjab,175,24,161,2009-06-16,2022-06-15,13590.0,72.0,175,0,6,100.0,0.0,0,115
Haryana,121,20,100,2009-07-05,2022-05-30,13592.0,75.0,121,0,5,100.0,0.0,0,70
Jammu and Kashmir,120,23,107,2010-08-16,2020-10-28,20201.0,15.0,120,0,5,100.0,0.0,0,102
Arunachal Pradesh,96,17,50,2009-12-01,2022-05-27,21862.0,39.0,96,0,6,100.0,0.0,0,60
Himachal Pradesh,95,11,84,2009-06-18,2022-06-10,9039.0,12.0,95,0,6,100.0,0.0,0,74
Uttarakhand,76,16,70,2009-06-02,2022-05-30,3740.0,27.0,76,0,5,100.0,0.0,0,42
Chandigarh,41,1,24,2009-10-30,2021-08-01,6413.0,0.0,41,0,3,100.0,0.0,0,38
Puducherry,38,5,31,2009-10-22,2022-05-26,16305.0,6.0,38,0,4,100.0,0.0,0,29
Delhi,31,7,19,2013-06-23,2019-10-21,80933.0,184.0,31,0,3,100.0,0.0,0,14
Meghalaya,29,10,28,2012-01-18,2022-05-12,1755.0,20.0,29,0,4,100.0,0.0,0,24
Tripura,26,10,22,2010-12-18,2019-08-25,24478.0,213.0,26,0,3,100.0,0.0,0,12
Manipur,19,9,15,2011-02-06,2019-10-01,963.0,5.0,19,0,3,100.0,0.0,0,14
Goa,18,2,18,2009-07-15,2019-04-10,712.0,3.0,18,0,5,100.0,0.0,0,13
Dadra and Nagar Haveli,12,1,11,2010-10-13,2020-01-29,232.0,0.0,12,0,4,100.0,0.0,0,12
Sikkim,12,6,10,2011-06-10,2020-05-07,670.0,1.0,12,0,2,100.0,0.0,0,10
Nagaland,11,5,11,2009-05-04,2020-10-28,329.0,10.0,11,0,3,100.0,0.0,0,9
Mizoram,11,7,11,2012-06-04,2021-12-02,609.0,0.0,11,0,3,100.0,0.0,0,11
Lakshadweep,11,4,6,2014-03-03,2016-11-07,216.0,0.0,11,0,1,100.0,0.0,0,11
Daman and Diu,5,3,5,2009-07-07,2020-03-04,241.0,2.0,5,0,2,100.0,0.0,0,3
Andaman and Nicobar Islands,3,2,3,2013-12-16,2019-10-09,124.0,0.0,3,0,1,100.0,0.0,0,3
