date,حمى,جفاف,عيادة,Digital_Panic_Index
2017-05-21,90,0,0,30.0
2017-05-28,73,0,0,24.33
2017-06-04,89,75,100,88.0
2017-06-11,84,0,0,28.0
2017-06-18,69,0,0,23.0
2017-06-25,70,54,0,41.33
2017-07-02,50,46,0,32.0
2017-07-09,63,69,28,53.33
2017-07-16,60,49,28,45.67
2017-07-23,84,0,0,28.0
2017-07-30,60,74,38,57.33
2017-08-06,82,47,26,51.67
2017-08-13,47,0,0,15.67
2017-08-20,46,0,0,15.33
2017-08-27,86,0,0,28.67
2017-09-03,59,68,0,42.33
2017-09-10,0,100,35,45.0
2017-09-17,69,0,31,33.33
2017-09-24,50,0,0,16.67
2017-10-01,0,65,0,21.67
2017-10-08,100,57,0,52.33
2017-10-15,50,0,0,16.67
2017-10-22,0,58,0,19.33
2017-10-29,47,0,0,15.67
2017-11-05,58,0,35,31.0
2017-11-12,91,0,0,30.33
2017-11-19,67,0,37,34.67
2017-11-26,59,0,0,19.67
2017-12-03,41,0,0,13.67
2017-12-10,0,70,33,34.33
2017-12-17,0,0,36,12.0
2017-12-24,62,0,0,20.67
2017-12-31,65,77,44,62.0
2018-01-07,58,0,0,19.33
2018-01-14,87,65,37,63.0
2018-01-21,0,0,0,0.0
2018-01-28,84,0,0,28.0
2018-02-04,76,0,0,25.33
2018-02-11,69,0,44,37.67
2018-02-18,59,0,0,19.67
