Date,Governorate,Cases,Deaths,New_Cases,New_Cases_flag
2017-05-22,Abyan,1068,10,1068.0,ok
2017-05-27,Abyan,1365,15,297.0,ok
2017-05-30,Abyan,1587,16,222.0,ok
2017-06-04,Abyan,1920,16,333.0,ok
2017-06-07,Abyan,2171,17,251.0,ok
2017-06-10,Abyan,2480,21,309.0,ok
2017-06-12,Abyan,2611,21,131.0,ok
2017-06-13,Abyan,2675,21,64.0,ok
2017-06-14,Abyan,2771,21,96.0,ok
2017-06-17,Abyan,3094,21,323.0,ok
2017-06-18,Abyan,3194,21,100.0,ok
2017-06-19,Abyan,3304,21,110.0,ok
2017-06-20,Abyan,3305,21,1.0,ok
2017-06-21,Abyan,3309,21,4.0,ok
2017-06-22,Abyan,3635,21,326.0,ok
2017-06-23,Abyan,3762,21,127.0,ok
2017-06-24,Abyan,3953,22,191.0,ok
2017-06-25,Abyan,3955,22,2.0,ok
2017-06-26,Abyan,4086,22,131.0,ok
2017-06-27,Abyan,4092,22,6.0,ok
2017-06-28,Abyan,4513,22,421.0,ok
2017-06-29,Abyan,4783,22,270.0,ok
2017-06-30,Abyan,5016,23,233.0,ok
2017-07-01,Abyan,5338,24,322.0,ok
2017-07-02,Abyan,5976,25,638.0,ok
2017-07-03,Abyan,6314,27,338.0,ok
2017-07-04,Abyan,6682,27,368.0,ok
2017-07-05,Abyan,6971,27,289.0,ok
2017-07-06,Abyan,7293,27,322.0,ok
2017-07-07,Abyan,7582,27,289.0,ok
2017-07-10,Abyan,8270,27,688.0,ok
2017-07-11,Abyan,8602,28,332.0,ok
2017-07-12,Abyan,8855,29,253.0,ok
2017-07-13,Abyan,9139,30,284.0,ok
2017-07-14,Abyan,9678,31,539.0,ok
2017-07-15,Abyan,9994,31,316.0,ok
2017-07-16,Abyan,10001,31,7.0,ok
2017-07-17,Abyan,10360,31,359.0,ok
2017-07-18,Abyan,10965,31,605.0,ok
2017-07-19,Abyan,10965,31,0.0,ok
2017-07-20,Abyan,11281,31,316.0,ok
2017-07-21,Abyan,11573,31,292.0,ok
2017-07-22,Abyan,11822,32,249.0,ok
2017-07-23,Abyan,11823,32,1.0,ok
2017-07-24,Abyan,12450,32,627.0,ok
2017-07-25,Abyan,12746,32,296.0,ok
2017-07-26,Abyan,13007,32,261.0,ok
2017-07-27,Abyan,13652,32,645.0,ok
2017-07-28,Abyan,13899,32,247.0,ok
2017-07-29,Abyan,13904,32,5.0,ok
2017-07-30,Abyan,14195,32,291.0,ok
2017-07-31,Abyan,14474,33,279.0,ok
2017-08-01,Abyan,14737,33,263.0,ok
2017-08-03,Abyan,15220,33,483.0,ok
2017-08-06,Abyan,16195,33,975.0,ok
2017-08-13,Abyan,17575,33,1380.0,ok
2017-08-15,Abyan,18055,33,480.0,ok
2017-08-16,Abyan,18257,34,202.0,ok
2017-08-17,Abyan,18469,34,212.0,ok
2017-08-18,Abyan,18634,34,165.0,ok
2017-08-19,Abyan,18865,34,231.0,ok
2017-08-20,Abyan,19102,34,237.0,ok
2017-08-21,Abyan,19103,34,1.0,ok
2017-08-22,Abyan,19535,35,432.0,ok
2017-08-23,Abyan,19733,35,198.0,ok
2017-08-24,Abyan,19971,35,238.0,ok
2017-08-26,Abyan,20550,35,579.0,ok
2017-08-27,Abyan,20771,35,221.0,ok
2017-08-28,Abyan,20976,35,205.0,ok
2017-08-29,Abyan,21164,35,188.0,ok
2017-08-30,Abyan,21327,35,163.0,ok
2017-08-31,Abyan,21328,35,1.0,ok
2017-09-01,Abyan,21586,35,258.0,ok
