Date,جفاف,ألم البطن,حمى,براز مائي,أملاح الإماهة الفموية,أقرب مستشفى,عيادة,مياه نظيفة,علاج الكوليرا,الوقاية من الكوليرا,ORS,alam fi al-ma'ida,humma,mahlool al-imaha al-fammiyya,aqrab mustashfa,markaz sihi,hal al-kulira mu'diya
2017-05-21,0,0,90,0,0,0,0,0,69,0,0,0,0,0,0,0,0
2017-05-28,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-04,75,0,89,0,0,0,100,0,100,0,0,0,100,0,0,0,0
2017-06-11,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-18,0,0,69,0,0,0,0,0,59,0,0,0,0,100,0,0,100
2017-06-25,54,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02,46,0,50,0,0,0,0,0,48,0,0,0,0,0,0,0,0
2017-07-09,69,0,63,0,0,0,28,0,0,0,0,0,0,0,0,0,0
2017-07-16,49,0,60,0,0,0,28,0,0,0,0,0,0,0,0,100,0
2017-07-23,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-30,74,0,60,0,0,0,38,0,0,0,0,0,0,0,0,0,0
2017-08-06,47,0,82,0,0,0,26,0,0,0,0,0,0,0,0,0,0
2017-08-13,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-20,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-27,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-03,68,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-10,100,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2017-09-17,0,0,69,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2017-09-24,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-08,57,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-15,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-22,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-29,0,0,47,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-05,0,0,58,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2017-11-12,0,0,91,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2017-11-19,0,0,67,0,0,0,37,0,0,0,0,0,0,0,0,0,0
2017-11-26,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-03,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-10,70,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2017-12-17,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
2017-12-24,0,100,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-31,77,0,65,0,0,0,44,0,0,0,0,0,0,0,100,0,0
2018-01-07,0,0,58,100,0,0,0,100,0,0,0,0,0,0,0,0,0
2018-01-14,65,0,87,0,0,0,37,0,0,100,0,0,0,0,0,0,0
2018-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-28,0,0,84,0,0,0,0,0,0,0,100,100,0,0,0,0,0
2018-02-04,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-11,0,0,69,0,0,0,44,0,0,0,0,0,0,0,0,0,0
2018-02-18,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
