DatasetName,TableName,FieldName,DataType,Description,Comments
FluNet,VIW_FNT,WHOREGION,string,"WHO regions (AFR, AMR, EMR, EUR, SEAR, WPR)",see: https://www.who.int/about/structure
FluNet,VIW_FNT,FLUSEASON,string,"Reporting season (NH=northern hemisphere, SH=southern hemisphere, YR=year-round reporting)",
FluNet,VIW_FNT,HEMISPHERE,string,"Hemisphere (NH=northern hemisphere, SH=southern hemisphere)",
FluNet,VIW_FNT,ITZ,string,Influenza transmission zone,see: https://cdn.who.int/media/docs/default-source/influenza/influenza-transmission-zones20180914.pdf
FluNet,VIW_FNT,COUNTRY_CODE,string,ISO3 country codes,includes WHO defined codes if not ISO3 code available
FluNet,VIW_FNT,COUNTRY_AREA_TERRITORY,string,"Country, area or territory name",
FluNet,VIW_FNT,ISO2,string,ISO2 country code,includes WHO defined codes if not ISO3 code available
FluNet,VIW_FNT,ISO_WEEKSTARTDATE,date,Week start date (ISO 8601),
FluNet,VIW_FNT,ISO_YEAR,integer,Year  (ISO 8601),
FluNet,VIW_FNT,ISO_WEEK,integer,Week  (ISO 8601),
FluNet,VIW_FNT,ISOYW,integer,Year and week (ISO8601),
FluNet,VIW_FNT,MMWR_WEEKSTARTDATE,date,Week start date (MMWR),American calendar
FluNet,VIW_FNT,MMWR_YEAR,integer,Year (MMWR),American calendar
FluNet,VIW_FNT,MMWR_WEEK,integer,Week (MMWR),American calendar
FluNet,VIW_FNT,MMWRYW,integer,Year and week (MMWR),American calendar
FluNet,VIW_FNT,ORIGIN_SOURCE,string,Surveillance site type (NONSENTINEL/SENTINEL/NOTDEFINED),"Non-sentinel: Data obtained from non-sentinel systems as indicated by the reporting country. Data reported in this category may include outbreak investigation, universal testing, testing at point of care or other systems apart from sentinel surveillance. / 
Sentinel: Data obtained from sentinel surveillance as indicated by the reporting country. Sentinel surveillance systems collect high-quality data in a timely manner systematically and routinely from sentinel surveillance sites representatives of the population under surveillance. / 
Type not defined: Source of data not indicated by the reporting country neither as sentinel nor as non-sentinel surveillance. These data may include sentinel or non-sentinel surveillance sources or both."
FluNet,VIW_FNT,SPEC_RECEIVED_NB,integer,Number of specimens received for influenza,Number of specimens received at the laboratory in the reporting week (can be different from the week in which the sample has been taken)
FluNet,VIW_FNT,SPEC_PROCESSED_NB,integer,Number of specimens processed for influenza with any kind of method,Number of specimens processed at the laboratory in the reporting week (can be different from the week in which the sample has been taken)
FluNet,VIW_FNT,AH1N12009,integer,Number of A(H1N1)pdm09 detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,AH1,integer,Number of A(H1) detections (other than A(H1N1)pdm09),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,AH3,integer,Number of A(H3) detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,AH5,integer,Number of A(H5) detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,AH7N9,integer,Number of A(H7N9) detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,AOTHER_SUBTYPE,integer,Number of other influenza A subtype detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,AOTHER_SUBTYPE_DETAILS,string,Name for A other subtype(s) detected cases,
FluNet,VIW_FNT,ANOTSUBTYPED,integer,Number of not subtyped influenza A detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,ANOTSUBTYPABLE,integer,Number of unsubtypable influenza A detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,INF_A,integer,Number of influenza A detections (all subtypes),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,BVIC_2DEL,integer,Number of B (Victoria lineage) 2-deletion detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,BVIC_3DEL,integer,Number of B (Victoria lineage) 3-deletion detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
